question,answer,option_one,option_two,option_three,feedback,test_section,test_type
Je veux ...... chocolat,Je veux du chocolat,,,,,6,1
Elle a besoin ...... eau,Elle a besoin d'eau,,,,,6,1
Nous avons acheté ...... pommes,Nous avons acheté des pommes,,,,,6,1
Il parle ...... histoire,Il parle de l'histoire,,,,,6,1
Ils ont pris ...... voiture et ...... bus,Ils ont pris la voiture et le bus,,,,,6,1
Je vais acheter ...... pain,Je vais acheter du pain,,,,,6,1
Il est fan ...... musique,Il est fan de musique,,,,,6,1
Nous avons visité ...... château et ...... musée,Nous avons visité le château et le musée,,,,,6,1
Elle a trouvé ...... solution,Elle a trouvé la solution,,,,,6,1
Tu as besoin ...... conseil,Tu as besoin de conseils,,,,,6,1
Nous avons parlé ...... projet,Nous avons parlé du projet,,,,,6,1
Ils ont choisi ...... options,Ils ont choisi des options,,,,,6,1
