question,answer,instruction,option_one,option_two,option_three,feedback,test_section,test_type
the time,le temps,Write the translation in French,,,,,1,1
the thing,la chose,Write the translation in French,,,,,1,1
the man,l'homme,Write the translation in French,,,,,1,1
le temps,masculine,Choose the correct gender,feminine,,,,1,2
la chose,feminine,Choose the correct gender,masculine,,,,1,2
l'homme,masculine,Choose the correct gender,feminine,,,,1,2
le temps,time,Choose the correct translation,thing,man,day,,1,3
la chose,thing,Choose the correct translation,time,man,day,,1,3
l'homme,man,Choose the correct translation,time,thing,day,,1,3
le temps,le temps,Transcribe the word(s),,,,,1,4
the day,le jour,Write the translation in French,,,,,2,1
the woman,la femme,Write the translation in French,,,,,2,1
the child,l'enfant,Write the translation in French,,,,,2,1
le jour,masculine,Choose the correct gender,feminine,,,,2,2
la femme,feminine,Choose the correct gender,masculine,,,,2,2
l'enfant,masculine,Choose the correct gender,feminine,,,,2,2
le jour,day,Choose the correct translation,woman,child,life,,2,3
la femme,woman,Choose the correct translation,day,child,life,,2,3
l'enfant,child,Choose the correct translation,day,woman,life,,2,3
le jour,le jour,Transcribe the word(s),,,,,2,4
the life,la vie,Write the translation in French,,,,,3,1
the moment,le moment,Write the translation in French,,,,,3,1
the gentleman,le monsieur,Write the translation in French,,,,,3,1
la vie,feminine,Choose the correct gender,masculine,,,,3,2
le moment,masculine,Choose the correct gender,feminine,,,,3,2
le monsieur,masculine,Choose the correct gender,feminine,,,,3,2
la vie,life,Choose the correct translation,moment,man,woman,,3,3
le moment,moment,Choose the correct translation,life,man,woman,,3,3
le monsieur,gentleman,Choose the correct translation,life,moment,woman,,3,3
la vie,la vie,Transcribe the word(s),,,,,3,4
the lady,la madame,Write the translation in French,,,,,4,1
the world,le monde,Write the translation in French,,,,,4,1
the year,l'année,Write the translation in French,,,,,4,1
la madame,feminine,Choose the correct gender,masculine,,,,4,2
le monde,masculine,Choose the correct gender,feminine,,,,4,2
l'année,feminine,Choose the correct gender,masculine,,,,4,2
la madame,lady,Choose the correct translation,world,year,time,,4,3
le monde,world,Choose the correct translation,lady,year,time,,4,3
l'année,year,Choose the correct translation,lady,world,time,,4,3
la madame,la madame,Transcribe the word(s),,,,,4,4
the time,le temps,Write the translation in French,,,,,5,1
the thing,la chose,Write the translation in French,,,,,5,1
the man,l'homme,Write the translation in French,,,,,5,1
le temps,masculine,Choose the correct gender,feminine,,,,5,2
la chose,feminine,Choose the correct gender,masculine,,,,5,2
l'homme,masculine,Choose the correct gender,feminine,,,,5,2
le temps,time,Choose the correct translation,thing,man,day,,5,3
la chose,thing,Choose the correct translation,time,man,day,,5,3
l'homme,man,Choose the correct translation,time,thing,day,,5,3
le temps,le temps,Transcribe the word(s),,,,,5,4
